Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
"Trampush et al. (2014) (Keaton et al., 2005)","Bullpasture River at Williamsville, VA",0.032465818,0.0095,0.2,,1.13,
"Trampush et al. (2014) (Keaton et al., 2005)","Catawba Creek near Catawba, VA",0.080422338,0.0053,0.028,,0.7,
"Trampush et al. (2014) (Lotspeich, 2009)","North Fork Rivanna River near Earlysville, VA",0.199440064,0.002,0.0113,,1.86,
"Trampush et al. (2014) (Keaton et al., 2005)","South Fork Roanoke River near Shawsville, VA",0.03104093,0.0024,0.0657,,1.4,
"Trampush et al. (2014) (Keaton et al., 2005)","Tinker Creek near Daleville, VA",0.052158289,0.0044,0.0374,,0.73,
"Trampush et al. (2014) (Lotspeich, 2009)","Smith River at Smith River Church near Woolwine, VA",0.055087656,0.006,0.0503,,0.76,
"Trampush et al. (2014) (Lotspeich, 2009)","Sandy River near Danville, VA",0.044138375,0.004,0.0904,,1.65,
"Trampush et al. (2014) (Chaplin, 2006)","Kinzua Creek near Guffey, PA",0.024287024,0.004,0.0861,,0.86,
"Trampush et al. (2014) (Chaplin, 2006)","Sevenmile Run near Rasselas, PA",0.051799035,0.009,0.0735,,0.7,
"Trampush et al. (2014) (Chaplin, 2006)","West Branch Clarion River at Wilcox, PA",0.024483256,0.003,0.067,,0.9,
"Trampush et al. (2014) (Chaplin, 2006)","Little Mahoning Creek at McCormick, PA",0.013957172,0.001,0.0675,,1.55,
"Trampush et al. (2014) (Chaplin, 2006)","Buffalo Creek near Freeport, PA",0.039761924,0.002,0.0446,,1.46,
"Trampush et al. (2014) (Chaplin, 2006)","Little Pine Creek near Etna, PA",0.178658937,0.011,0.0207,,0.55,
"Trampush et al. (2014) (Messinger, 2009)","Middle Fork at Audra, WV",0.004636297,0.004,0.696468,,1.33,
"Trampush et al. (2014) (Messinger, 2009)","Sand Run near Buckhannon, WV",0.018972332,0.006,0.105156,,0.55,
"Trampush et al. (2014) (Messinger, 2009)","Blackwater River at Davis, WV",0.002798354,0.001,0.370332,,1.71,
"Trampush et al. (2014) (Messinger, 2009)","Big Sandy Creek near Rockville, WV",0.012561368,0.007,0.545592,,1.62,
"Trampush et al. (2014) (McCandless, 2003)","Bear Creek at Friendsville, MD",0.076564593,0.021,0.152,,0.91,
"Trampush et al. (2014) (McCandless, 2003)","Casselman River at Grantsville, MD",0.027494292,0.004,0.086,,0.98,
"Trampush et al. (2014) (Chaplin, 2006)","Laurel Hill Creek at Ursina, PA",0.031172727,0.003,0.0672,,1.15,
"Trampush et al. (2014) (Chaplin, 2006)","Little Shenango River at Greenville, PA",0.039841752,0.002,0.0523,,1.72,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Yellow Creek near Hammondsville, OH",0.054629712,0.0033,0.05412,,1.48,
"Trampush et al. (2014) (Messinger, 2009)","Kings Creek near Weirton, WV",0.019450317,0.004,0.131064,,1.05,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Licking River near Newark, OH",0.028669773,0.0003,0.01471,,2.32,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Salt Creek near Chandlersville, OH",0.132234273,0.0015,0.01383,,2.01,
"Trampush et al. (2014) (Messinger, 2009)","Little Kanawha River near Wildcat, WV",0.017252525,0.002,0.09144,,1.3,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Clear Creek near Rockbridge, OH",0.045155556,0.0011,0.03123,,2.12,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Shade River near Chester, OH",0.09387035,0.0012,0.0179,,2.31,
"Trampush et al. (2014) (Keaton et al., 2005)","Reed Creek at Grahams Forge, VA",0.032723926,0.0033,0.0652,,1.07,
"Trampush et al. (2014) (Keaton et al., 2005)","Bluestone River at Falls Mills, VA",0.042934659,0.0017,0.0256,,1.07,
"Trampush et al. (2014) (Messinger, 2009)","Williams River at Dyer, WV",0.004196447,0.002,0.44196,,1.53,
"Trampush et al. (2014) (Messinger, 2009)","Cranberry River near Richwood, WV",0.024935065,0.008,0.21336,,1.1,
"Trampush et al. (2014) (Messinger, 2009)","Panther Creek near Panther, WV",0.021264069,0.008,0.21336,,0.94,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Ohio Brush Creek near West Union, OH",0.035299322,0.0006,0.03793,,3.68,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Greenville Creek near Bradford, OH",0.032821249,0.0011,0.02786,,1.37,
"Trampush et al. (2014) (Williams, 1978)","Green River at Munfordville, KY",0.171962482,0.00085,0.021,,7.01,
"Trampush et al. (2014) (Keaton et al., 2005)","South Fork Holston River at Riverside, near Chilhowie, VA",0.020741308,0.0022,0.0627,,0.98,
"Trampush et al. (2014) (Keaton et al., 2005)","Middle Fork Holston River at Seven Mile Ford, VA",0.054216052,0.0033,0.0461,,1.25,
"Trampush et al. (2014) (Keaton et al., 2005)","North Fork Holston River near Saltville, VA",0.0155278,0.0016,0.0552,,0.88,
"Trampush et al. (2014) (Williams, 1978)","Elk River near Prospect, TN",0.206060606,0.0008,0.014,,5.95,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Black River near Garnet, MI",0.065710797,0.01788,0.095,,0.58,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","St. Joseph River at Burlington, MI",0.021441152,0.00079,0.013,,0.58,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","South Branch Hog Creek near Allen, MI",0.006305358,0.00024,0.009,,0.39,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Augusta Creek near Augusta, MI",0.054210065,0.00201,0.01,,0.45,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Looking Glass River near Eagle, MI",0.022285887,0.00073,0.019,,0.96,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Thornapple River near Hastings, MI",0.046977993,0.00173,0.03,,1.34,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","South Branch Au Sable River near Luzerne, MI",0.030541576,0.00155,0.021,,0.68,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Cass River near Cass City, MI",0.005834303,0.00065,0.078,,1.16,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Belle River at Memphis, MI",0.168975074,0.00234,0.011,,1.31,
"Trampush et al. (2014) (Rachol and Boley-Morse, 2009)","Stony Creek near Romeo, MI",0.072278349,0.00482,0.017,,0.42,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Sandusky River near Bucyrus, OH",0.02727125,0.0015,0.0443,,1.33,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Old Woman Creek at Berlin Road near Huron, OH",0.103883214,0.0019,0.01517,,1.37,
"Trampush et al. (2014) (Sherwood and Huitger, 2005)","Grand River near Painesville, OH",0.009037904,0.0006,0.07493,,1.86,
"Trampush et al. (2014) (Chaplin, 2006)","Brandy Run near Girard, PA",0.045415876,0.012,0.041,,0.26,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Cayuga Creek near Lancaster, NY",0.015932698,0.002,0.089662,,1.18,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Cazenovia Creek at Ebenezer, NY",0.042798354,0.001,0.020574,,1.45,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Tonawanda Creek at Rapids, NY",0.068350168,0.001,0.018288,,2.06,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Oatka Creek at Garbutt, NY",0.023283192,0.003,0.070612,,0.9,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Irondequoit Creek at Railroad Mills near Fischers, NY",0.183932347,0.003,0.010922,,1.1,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Flint Creek at Phelps, NY",0.2378502,0.01,0.026924,,1.06,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Sandy Creek near Adams, NY",0.02720272,0.002,0.076962,,1.73,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Independence River at Donnattsburg, NY",0.046920821,0.005,0.086614,,1.34,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Bouquet River at Willsboro, NY",0.025401625,0.003,0.122174,,1.71,
"Trampush et al. (2014) (Foster, 2012)",Soda Butte Creek at Park Boundary at Silver Gate,0.066213932,0.015,0.077,,0.56,
"Trampush et al. (2014) (Foster, 2012)","Gardner River near Mammoth, YNP",0.045804003,0.011,0.1149,,0.79,
"Trampush et al. (2014) (Foster, 2012)","Rock Creek near Red Lodge, MT",0.039137552,0.014,0.15,,0.69,
"Trampush et al. (2014) (Foster, 2012)","Wind River near Dubois, WY",0.020183885,0.003,0.095,,1.05,
"Trampush et al. (2014) (Foster, 2012)","Dry Creek near Burris, WY",0.039009205,0.017,0.128,,0.48,
"Trampush et al. (2014) (Foster, 2012)","Willow Creek near Crowheart, WY",0.038121784,0.014,0.0848,,0.38,
"Trampush et al. (2014) (Mueller et al., 2005)","Wind River at Riverton, WY",0.04600551,0.001,0.022,,1.67,
"Trampush et al. (2014) (Foster, 2012)","South Fork Little Wind River above Reservoir near Ft Washakie, WY",0.095885,0.011,0.032,,0.46,
"Trampush et al. (2014) (Foster, 2012)","Little Popo Agie River near Lander, WY",0.024005401,0.005,0.0808,,0.64,
"Trampush et al. (2014) (Foster, 2012)","Shell Creek above Shell Creek Reservoir, WY",0.013166199,0.001,0.0369,,0.8,
"Trampush et al. (2014) (Foster, 2012)","Shell Creek near Shell, WY",0.041457775,0.013,0.1396,,0.73,
"Trampush et al. (2014) (Foster, 2012)","North Fork Shoshone River at Wapiti, WY",0.056745982,0.012,0.1586,,1.24,
"Trampush et al. (2014) (Foster, 2012)","South Fork Shoshone River near Valley, WY",0.070166569,0.009,0.0744,,0.96,
"Trampush et al. (2014) (Foster, 2012)","Little Bighorn River at State Line, near Wyola, MT",0.043797671,0.01,0.1046,,0.76,
"Trampush et al. (2014) (Foster, 2012)","Tongue River near Dayton, WY",0.01997999,0.006,0.1581,,0.87,
"Trampush et al. (2014) (Foster, 2012)","Wolf Creek at Wolf, WY",0.018792195,0.005,0.0983,,0.61,
"Trampush et al. (2014) (Foster, 2012)","Coney Creek above Twin Lakes near Big Horn, WY",0.047864556,0.004,0.0247,,0.49,
"Trampush et al. (2014) (Chase, 2004)","Hanging Woman Creek near Birney, MT",0.051723636,0.014,0.04,,0.24,
"Trampush et al. (2014) (Foster, 2012)","Middle Fork Powder River near Barnum, WY",0.026350579,0.007,0.1217,,0.76,
"Trampush et al. (2014) (Foster, 2012)","North Fork Powder River near Hazelton, WY",0.027503838,0.01,0.09,,0.41,
Trampush et al. (2014) (Andrews 1984),"Michigan River near Cameron Pass, CO",0.064638219,0.026,0.049,,0.201,
Trampush et al. (2014) (Andrews 1984),"North Platte River near Northgate, CO",0.034363636,0.0014,0.024,,0.972,
"Trampush et al. (2014) (Foster, 2012)","North Brush Creek near Saratoga, WY",0.064250455,0.021,0.128,,0.65,
"Trampush et al. (2014) (Foster, 2012)","Encampment River above Hog Park Creek near Encampment, WY",0.032549199,0.01,0.1748,,0.94,
"Trampush et al. (2014) (Foster, 2012)","Jack Creek above Coyote Draw, near Saratoga, WY",0.013021759,0.002,0.0366,,0.39,
"Trampush et al. (2014) (Foster, 2012)","Rock Creek above King Canyon Canal near Arlington, WY",0.05805318,0.014,0.1332,,0.91,
"Trampush et al. (2014) (Foster, 2012)","Box Elder Creek at Boxelder, WY",0.015644091,0.003,0.096,,0.83,
Trampush et al. (2014) (Torizzo and pitlick 2004),"Leavenworth Creek, CO",0.165,0.0363,0.08,,0.6,
"Trampush et al. (2014) (Andrews 1984; Muller and Pitlick, 2005)","Halfmoon Creek near Malta, CO",0.047854545,0.0084,0.05,,0.47,
"Trampush et al. (2014) (Williams, 1978)","Rio Fernando de Taos near Taos, NM",0.061403509,0.0154,0.076,,0.5,
"Trampush et al. (2014) (Williams, 1978)","Rio Grande del Rancho near Talpa, NM",0.026,0.0066,0.06,,0.39,
"Trampush et al. (2014) (Williams, 1978)","Embudo Creek at Dixon, NM",0.308525253,0.0092,0.015,,0.83,
"Trampush et al. (2014) (Williams, 1978)","Jemez River near Jemez, NM",0.269090909,0.0074,0.015,,0.9,
Trampush et al. (2014) (Andrews 1984),"Fraser River at Upper STA, near Winter Park, CO",0.072370766,0.014,0.034,,0.29,
Trampush et al. (2014) (Torizzo and pitlick 2004),"Williams Fork above Darling Creek, near Leal, CO",0.013090909,0.0012,0.03,,0.54,
Trampush et al. (2014) (Andrews 1984),"South Fork of Williams Fork near Leal, CO",0.053175592,0.015,0.073,,0.427,
Trampush et al. (2014) (Andrews 1984),"Williams Fork near Leal, CO",0.045333333,0.0044,0.043,,0.731,
Trampush et al. (2014) (Andrews 1984),"Castle Creek above Aspen, CO",0.067363303,0.0206,0.091,,0.491,
Trampush et al. (2014) (Andrews 1984),"Crystal River above Avalanche Creek, near Redstone, CO",0.030273346,0.0058,0.098,,0.844,
Trampush et al. (2014) (Andrews 1984),"East River at Almont, CO",0.040650683,0.0067,0.091,,0.911,
Trampush et al. (2014) (Andrews 1984),"Tomichi Creek at Sargents, CO",0.031393939,0.0046,0.046,,0.518,
"Trampush et al. (2014) (Williams, 1978)","Tomichi Creek at Gunnison, CO",0.036363636,0.0036,0.042,,0.7,
Trampush et al. (2014) (Andrews 1984),"Lake Fork at Gateview, CO",0.039067127,0.0058,0.079,,0.878,
"Trampush et al. (2014) (Williams, 1978)","Rock Creek near Dillon, CO",0.092444444,0.0416,0.12,,0.44,
"Trampush et al. (2014) (Williams, 1978)","Blacks Fork near Little America, WY",0.047946128,0.0008,0.018,,1.78,
Trampush et al. (2014) (Andrews 1984),"Elk River near Milner, CO",0.050804924,0.0037,0.064,,1.45,
"Trampush et al. (2014) (Foster, 2012)","Elkhead Creek above Long Gulch, near Hayden, CO",0.036890394,0.004,0.0671,,1.02,
Trampush et al. (2014) (Andrews 1984),"Yampa River near Maybell, CO",0.029019608,0.00088,0.034,,1.85,
Trampush et al. (2014) (Andrews 1984),"Little Snake River near Slater, CO",0.039855936,0.0071,0.122,,1.13,
"Trampush et al. (2014) (Foster, 2012)","Slater Fork near Slater, CO",0.041502061,0.001,0.015,,1.03,
"Trampush et al. (2014) (Williams, 1978)","Pine Creek near Escalante, UT",0.039875115,0.0184,0.165,,0.59,
"Trampush et al. (2014) (Andrews, 2000)","East Fork Virgin River near Springdale, UT",0.056242424,0.004,0.025,,0.58,
"Trampush et al. (2014) (Williams, 1978)","Gila River near Redrock, NM",0.006415152,0.00058,0.04,,0.73,
"Trampush et al. (2014) (Williams, 1978)","San Francisco River near Glenwood, NM",0.038095238,0.004,0.035,,0.55,
"Trampush et al. (2014) (Williams, 1978)","Tonto Creek near Roosevelt, AZ",0.033454545,0.0012,0.02,,0.92,
"Trampush et al. (2014) (Andrews, 1994)","Sagehen Creek, CA",0.042842215,0.01,0.058,,0.41,
"Trampush et al. (2014) (Lawlor, 2004)","Basin Creek near Yaak, MT",0.154819048,0.008,0.021,,0.67,
"Trampush et al. (2014) (Lawlor, 2004)","Little Blackfoot River near Garrison, MT",0.055418182,0.003,0.027,,0.82,
"Trampush et al. (2014) (Lawlor, 2004)","Flint Creek at Maxville, MT",0.053438961,0.003,0.028,,0.82,
"Trampush et al. (2014) (Lawlor, 2004)","Boulder Creek at Maxville, MT",0.057001558,0.018,0.105,,0.55,
"Trampush et al. (2014) (Lawlor, 2004)","Middle Fork Rock Creek near Philipsburg, MT",0.539972028,0.1,0.065,,0.58,
"Trampush et al. (2014) (Lawlor, 2004)","Nevada Creek above Reservoir, near Helmville, MT",0.123151515,0.004,0.009,,0.46,
"Trampush et al. (2014) (Lawlor, 2004)","Mill Creek above Bassoo Creek near Niaranda, MT",0.089178683,0.028,0.058,,0.3,
"Trampush et al. (2014) (Lawlor, 2004)","South Crow Creek near Ronan, MT",0.115706446,0.053,0.11,,0.4,
"Trampush et al. (2014) (Lawlor, 2004)","Mission Creek above reservoir near St. Ignatius, MT",0.202672208,0.016,0.035,,0.73,
"Trampush et al. (2014) (Lawlor, 2004)","Big Knife Creek near Arlee, MT",0.274638777,0.028,0.0226,,0.37,
"Trampush et al. (2014) (Lawlor, 2004)","Revais Creek below West Fork near Dixon, MT",0.109912727,0.035,0.1,,0.52,
"Trampush et al. (2014) (Emmett, 1975)","Bruno Creek nr Clayton, ID",0.255616364,0.0369,0.024,,0.27,
"Trampush et al. (2014) (Williams, 1978)","Winberry Creek near Lowell, OR",0.028,0.0042,0.06,,0.66,
"Trampush et al. (2014) (Williams, 1978)","Row River above Pitcher Creek near  Dorena, OR",0.004909091,0.00054,0.072,,1.08,
"Trampush et al. (2014) (Emmett, 1972)","Salcha River nea Salchaket, AK",0.071925725,0.0008,0.0188,,2.79,
"Trampush et al. (2014) (Emmett, 1972)","Chena River near Two Rivers, AK",0.06693933,0.0017,0.019,,1.23,
"Trampush et al. (2014) (Emmett, 1972)","Little Chena River near Fairbanks, AK",0.314720539,0.002,0.0135,,3.51,
"Trampush et al. (2014) (Williams, 1978)","Thomas Creek near Scio, OR",0.026893939,0.003,0.048,,0.71,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Stony Brook near Dover Plains, NY",0.464892014,0.052,0.045974,,0.68,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Batten Kill below Mill at Battenville, NY",0.032900433,0.001,0.039116,,2.12,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Little Hoosic River at Petersburg, NY",0.046229739,0.004,0.065532,,1.25,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Steele Creek at Ilion, NY",0.143696028,0.011,0.049022,,1.06,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Valley Brook near Morehouseville, NY",0.046318103,0.025,0.147066,,0.45,
"Trampush et al. (2014) (Mulvihil et al., 2009)","North Creek near Ephratah, NY",0.195848246,0.019,0.032258,,0.55,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Schoharie Creek at Prattsville, NY",0.02070207,0.002,0.102616,,1.75,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Kinderhook Creek at Rossman, NY",0.012535459,0.002,0.170942,,1.77,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Roeliff Jansen Kill near Hillsdale, NY",0.159570387,0.005,0.020066,,1.06,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Bushnellsville, Creek at Shandaken, NY",0.08302494,0.018,0.086106,,0.66,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Esopus Creek at Allaben, NY",0.053117159,0.008,0.119634,,1.31,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Fishkill Creek at Hopewell Junction, NY",0.122776149,0.001,0.007874,,1.6,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Kisco River below Mount Kisco, NY",0.051052396,0.009,0.103124,,0.97,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Hunter Brook south of Yorktown, NY",0.052821796,0.019,0.166116,,0.76,
"Trampush et al. (2014) (Mulvihil et al., 2009)","North Branch of Foulertons Brook at Roseland, NJ",0.144551101,0.02,0.040894,,0.49,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Trout Creek near Trout Creek, NY",0.048027444,0.005,0.053848,,0.85,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Cold Spring Brook at China, NY",0.088003321,0.02,0.037084,,0.27,
"Trampush et al. (2014) (Mulvihil et al., 2009)",East Branch Neversink River at Denning,0.03014602,0.01,0.147066,,0.73,
"Trampush et al. (2014) (Chaplin, 2006)","Little Lehigh Creek at 10th st. Bridge at Allentown, PA",0.045442909,0.003,0.04,,1,
"Trampush et al. (2014) (Chaplin, 2006)","Maiden Creek at Virginville, PA",0.023886185,0.001,0.0331,,1.3,
"Trampush et al. (2014) (Chaplin, 2006)","Tulpehocken Creek near Bernville, PA",0.022594741,0.001,0.0242,,0.9,
"Trampush et al. (2014) (White, 2001)","Perkioman Creek at East Greenville, PA",0.257645933,0.002,0.0038,,0.81,
"Trampush et al. (2014) (White, 2001)","West Branch Perkiomen Creek at Hillegas, PA",1.9304,0.004,0.0008,,0.64,
"Trampush et al. (2014) (Cinotto, 2003)","West Branch Brandywine Creek near Honey Brook, PA",0.056451445,0.001,0.00733,,0.68,
"Trampush et al. (2014) (White, 2001)","Sucker Run near Coatesville, PA",13.56637091,0.009,0.00025,,0.62,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Mill Creek near Skipton, MD",0.753687273,0.0017,0.0005,,0.37,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Northeast Creek at Leslie, MD",0.070477583,0.012,0.10694,,1.04,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Mink Creek at Richfield Springs, NY",0.018902217,0.005,0.099822,,0.62,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Little Elk Creek at Westford, NY",0.052907453,0.017,0.075184,,0.39,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Sage Brook near South New Berlin, NY",0.161437383,0.035,0.028702,,0.22,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Butternut Creek at Morris, NY",0.012070917,0.001,0.061214,,1.22,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Shackham Brook near Truxton, NY",0.068498943,0.014,0.043688,,0.35,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Albright Creek at East Homer, NY",0.076363636,0.018,0.07112,,0.5,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Tioughnioga River at Cortland, NY",0.061148801,0.001,0.017018,,1.72,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Otselic River near Upper Lisle, NY",0.037150728,0.002,0.058674,,1.8,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Merrill Creek Tributary near Texas Valley, NY",0.040306681,0.009,0.063246,,0.47,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Catatonk Creek Northwest of Owego, NY",0.00969697,0.001,0.05588,,0.89,
"Trampush et al. (2014) (Chaplin, 2006)","Crooked Creek below Catlin Hollow at Middlebury Center, PA",0.024315005,0.001,0.0332,,1.33,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Big Creek near Howard, NY",0.091239669,0.012,0.05588,,0.7,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Fivemile Creek near Kanona, NY",0.022748493,0.005,0.090678,,0.68,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Cuthrie Run near Big Flats, NY",0.071491384,0.016,0.06477,,0.48,
"Trampush et al. (2014) (Chaplin, 2006)","Tuscarora Creek near Silvara, PA",0.021737304,0.013,0.116,,0.32,
"Trampush et al. (2014) (Chaplin, 2006)","Toby Creek at Luzerne, PA",0.042868941,0.012,0.121,,0.71,
"Trampush et al. (2014) (Chaplin, 2006)","Wilson Run at Penfield, PA",0.050353079,0.007,0.0434,,0.52,
"Trampush et al. (2014) (Chaplin, 2006)","First Fork Sinnemahoning Creek at Wharton, PA",0.014294783,0.002,0.107,,1.26,
"Trampush et al. (2014) (Williams, 1978)","Cocolamus Creek near Millerstown, PA",0.08587013,0.0029,0.035,,1.71,
"Trampush et al. (2014) (Chaplin, 2006)","Bixler Run near Loysville, PA",0.026121997,0.004,0.071,,0.77,
"Trampush et al. (2014) (Chaplin, 2006)","Newburg Run at Newburg, PA",0.032527041,0.004,0.0393,,0.53,
"Trampush et al. (2014) (Chaplin, 2006)","Quittapahilla Creek near Bellegrove, PA",0.055783978,0.001,0.0101,,0.93,
"Trampush et al. (2014) (Cinotto, 2003)","Conowingo Creek near Buck, PA",0.037623353,0.004,0.0436,,0.68,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Basin Run at Liberty Grove, MD",0.200852835,0.0059,0.01031,,0.58,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Slade Run near Glyndon, MD",0.311046858,0.012,0.01069,,0.46,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Beaver Run near Finksburg, MD",0.065559775,0.005,0.03663,,0.79,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Morgan Run at Louisville, MD",0.096058182,0.0052,0.032,,0.98,
"Trampush et al. (2014) (McCandless, 2003)","Savage River near Frostburg, MD",0.023798198,0.013,0.111,,0.34,
"Trampush et al. (2014) (McCandless, 2003)","Evitts Creek near Centerville, PA",0.021389474,0.006,0.114,,0.67,
"Trampush et al. (2014) (Williams, 1978)","Patterson Creek near Headsville, WV",0.091212121,0.0007,0.012,,2.58,
"Trampush et al. (2014) (Keaton et al., 2005)","Little Cacapon River near Levels, WV",0.014126203,0.0013,0.0731,,1.31,
"Trampush et al. (2014) (McCandless, 2003)","Bear Creek at Forest Park, MD",0.092783471,0.013,0.044,,0.52,
"Trampush et al. (2014) (McCandless, 2003)","Ditch Run near Hancock, MD",0.157018182,0.011,0.022,,0.52,
"Trampush et al. (2014) (Keaton et al., 2005)","Potomac River Tributary near Hancock, MD",0.081388067,0.0241,0.0547,,0.3,
"Trampush et al. (2014) (Keaton et al., 2005)","Back Creek near Jones Springs, WV",0.079814229,0.003,0.0368,,1.62,
"Trampush et al. (2014) (Keaton et al., 2005)","Dog Creek tributary at Locust Grove, MD",0.149483254,0.0123,0.0076,,0.15,
"Trampush et al. (2014) (Keaton et al., 2005)","Christians Creek near Fisherville, VA",0.021955932,0.0011,0.0472,,1.55,
"Trampush et al. (2014) (Keaton et al., 2005)","Crooked Run near Mt. Jackson, VA",0.063913356,0.0059,0.0324,,0.58,
"Trampush et al. (2014) (Keaton et al., 2005)","Pugh's Run near Woodstock, VA",0.102559622,0.0228,0.0616,,0.46,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Big Pipe Creek at Bruceville, MD",0.071330333,0.0013,0.0202,,1.83,
"Trampush et al. (2014) (Lotspeich, 2009)","South Branch Chopawamsic Creek near Garrisonville, VA",2.493818182,0.003,0.0004,,0.55,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Bush Mill Stream near Heathsville, VA",2.309090909,0.0025,0.0005,,0.76,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Cat Point Creek near Montross, VA",1.431636364,0.0025,0.001,,0.94,
"Trampush et al. (2014) (Lotspeich, 2009)","Contrary Creek near Mineral, VA",0.03762963,0.004,0.0216,,0.34,
"Trampush et al. (2014) (Lotspeich, 2009)","South Anna River tributary no. 6 near Ashland, VA",0.123151515,0.015,0.0135,,0.18,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Reedy Creek near Dawn, VA",5.615709091,0.0038,0.00025,,0.61,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Aylett Creek at Aylett, VA",0.131618182,0.0015,0.004,,0.58,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Winters Run near Benson, MD",0.159975776,0.0052,0.02642,,1.34,
"Trampush et al. (2014) (Keaton et al., 2005)","Cowpasture River near Head Waters, VA",0.019484932,0.0055,0.073,,0.43,
"Trampush et al. (2014) (Keaton et al., 2005)","Renick Run near Buchanan, VA",0.069607378,0.022,0.0759,,0.4,
"Trampush et al. (2014) (Lotspeich, 2009)","Buffalo River tributary near Amherst, VA",0.11626192,0.015,0.0143,,0.18,
"Trampush et al. (2014) (Lotspeich, 2009)","Big Lickinghole Creek Tributary near Ferncliff, VA",0.923636364,0.004,0.0004,,0.15,
"Trampush et al. (2014) (Lotspeich, 2009)","North Holiday Creek near Toga, VA",0.068781431,0.007,0.0188,,0.3,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Baily Branch Tributary at Spring Grove, VA",0.085142479,0.0039,0.011,,0.4,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Collins Run Tributary near Providence Forge, VA",0.362065455,0.0049,0.002,,0.24,
"Trampush et al. (2014) (Lotspeich, 2009)","Falls Creek tributary near Victoria, VA",0.060356436,0.006,0.0202,,0.34,
